"SampleID","FIELDID","DateSampled","Primary ID","Length in cm","Quantity"
"131","Low10","2015-06-10 00:00:00","177","","2"
"131","Low10","2015-06-10 00:00:00","179","","2"
"131","Low10","2015-06-10 00:00:00","180","","14"
"131","Low10","2015-06-10 00:00:00","181","","12"
"131","Low10","2015-06-10 00:00:00","197","","1"
"131","Low10","2015-06-10 00:00:00","201","","3"
"131","Low10","2015-06-10 00:00:00","202","","1"
"131","Low10","2015-06-10 00:00:00","203","","4"
"131","Low10","2015-06-10 00:00:00","205","","2"
"131","Low10","2015-06-10 00:00:00","212","","12"
"131","Low10","2015-06-10 00:00:00","214","","1"
"132","MR-11","2016-06-17 00:00:00","168","","2"
"132","MR-11","2016-06-17 00:00:00","176","","2"
"132","MR-11","2016-06-17 00:00:00","181","","22"
"132","MR-11","2016-06-17 00:00:00","190","","1"
"132","MR-11","2016-06-17 00:00:00","200","","1"
"132","MR-11","2016-06-17 00:00:00","203","","4"
"132","MR-11","2016-06-17 00:00:00","212","","43"
"132","MR-11","2016-06-17 00:00:00","215","","78"
"133","MR-20","2015-06-19 00:00:00","163","6","1"
"133","MR-20","2015-06-19 00:00:00","168","6","1"
"133","MR-20","2015-06-19 00:00:00","176","6","1"
"133","MR-20","2015-06-19 00:00:00","180","5","2"
"133","MR-20","2015-06-19 00:00:00","181","8.5","1"
"133","MR-20","2015-06-19 00:00:00","192","3","1"
"133","MR-20","2015-06-19 00:00:00","197","26","1"
"133","MR-20","2015-06-19 00:00:00","200","5","1"
"133","MR-20","2015-06-19 00:00:00","203","5","2"
"133","MR-20","2015-06-19 00:00:00","206","11","1"
"133","MR-20","2015-06-19 00:00:00","209","3","3"
"133","MR-20","2015-06-19 00:00:00","212","6.5","1"
"133","MR-20","2015-06-19 00:00:00","176","7","1"
"133","MR-20","2015-06-19 00:00:00","163","7.5","1"
"133","MR-20","2015-06-19 00:00:00","163","8","2"
"133","MR-20","2015-06-19 00:00:00","163","11","1"
"133","MR-20","2015-06-19 00:00:00","168","8","8"
"133","MR-20","2015-06-19 00:00:00","168","8.5","9"
"133","MR-20","2015-06-19 00:00:00","168","9","8"
"133","MR-20","2015-06-19 00:00:00","168","9.5","2"
"133","MR-20","2015-06-19 00:00:00","168","10","11"
