"SampID","HabitatSampled"
"161","leaf packs"
"161","pools"
"161","undercut overhanging"
"161","submerged wood"
"162","riffles"
"162","cobbles"
"162","runs"
"162","stream margins"
"162","leaf packs"
"162","pools"
"162","undercut overhanging"
"162","submerged wood"
"163","riffles"
"163","cobbles"
"163","aquatic plants"
"163","stream margins"
"163","leaf packs"
"163","undercut overhanging"
"163","submerged wood"
"164","riffles"
"164","cobbles"
"164","aquatic plants"
"164","other"
"164","runs"
"164","stream margins"
"164","pools"
"164","leaf packs"
"164","undercut overhanging"
"164","submerged wood"
"165","riffles"
"165","cobbles"
"165","aquatic plants"
"165","runs"
"165","stream margins"
"165","leaf packs"
"165","pools"
"165","undercut overhanging"
"165","submerged wood"
"166","riffles"
"166","cobbles"
"166","aquatic plants"
"166","runs"
"166","leaf packs"
"166","pools"
"166","undercut overhanging"
"166","submerged wood"
"167","riffles"
"167","aquatic plants"
"167","runs"
"167","stream margins"
"167","leaf packs"
"167","pools"
"3","pools"
"548","undercut overhanging"
"548","submerged wood"
"549","riffles"
"549","cobbles"
"549","runs"
"549","stream margins"
"549","leaf packs"
"549","pools"
"549","undercut overhanging"
"549","submerged wood"
"550","aquatic plants"
"550","runs"
"550","stream margins"
"550","leaf packs"
"550","pools"
"550","undercut overhanging"
"550","submerged wood"
"551","aquatic plants"
"551","stream margins"
"551","leaf packs"
"551","pools"
"551","undercut overhanging"
"612","cobbles"
"612","aquatic plants"
"612","runs"
"612","stream margins"
"612","leaf packs"
"612","pools"
"612","undercut overhanging"
"612","submerged wood"
"613","riffles"
"613","cobbles"
"613","aquatic plants"
"613","runs"
"613","stream margins"
"613","leaf packs"
"613","pools"
"613","undercut overhanging"
"613","submerged wood"
"614","riffles"
"614","cobbles"
"614","aquatic plants"
"614","runs"
"614","leaf packs"
"614","pools"
"614","undercut overhanging"
"615","riffles"
"615","cobbles"
"615","runs"
"615","stream margins"
"615","leaf packs"
"615","pools"
"615","undercut overhanging"
"615","submerged wood"
"616","riffles"
"616","runs"
"616","stream margins"
"616","leaf packs"
"616","pools"
"616","submerged wood"
"617","riffles"
"617","cobbles"
"617","runs"
"618","riffles"
"618","leaf packs"
"618","undercut overhanging"
"618","submerged wood"
"618","concrete"
"619","riffles"
"619","cobbles"
"619","runs"
"619","stream margins"
"619","leaf packs"
"619","pools"
"619","undercut overhanging"
"619","submerged wood"
"620","riffles"
"620","cobbles"
"620","runs"
"620","stream margins"
"620","leaf packs"
"620","undercut overhanging"
"620","submerged wood"
"621","riffles"
"621","cobbles"
"621","aquatic plants"
"621","runs"
"621","stream margins"
"621","leaf packs"
"621","pools"
"621","undercut overhanging"
"628","cobbles"
"622","riffles"
"622","cobbles"
"622","runs"
"622","stream margins"
"622","leaf packs"
"622","pools"
"622","undercut overhanging"
"622","submerged wood"
"623","riffles"
"623","cobbles"
"623","aquatic plants"
"623","runs"
"623","stream margins"
"623","leaf packs"
"623","pools"
"623","undercut overhanging"
"623","submerged wood"
"624","riffles"
"624","cobbles"
"624","aquatic plants"
"624","runs"
"624","stream margins"
"624","leaf packs"
"624","pools"
"624","undercut overhanging"
"624","submerged wood"
"625","riffles"
"625","cobbles"
"625","aquatic plants"
"625","runs"
"625","stream margins"
"625","leaf packs"
"625","submerged wood"
"626","riffles"
"626","cobbles"
"626","aquatic plants"
"626","runs"
"626","stream margins"
"626","leaf packs"
"626","pools"
"626","undercut overhanging"
"627","riffles"
"627","cobbles"
"627","aquatic plants"
"627","runs"
"627","stream margins"
"627","leaf packs"
"627","pools"
"627","undercut overhanging"
"627","submerged wood"
"628","runs"
"628","stream margins"
"628","leaf packs"
"628","pools"
"628","undercut overhanging"
"628","submerged wood"
"184","undercut overhanging"
"184","submerged wood"
"185","cobbles"
"185","aquatic plants"
"185","runs"
"185","stream margins"
"185","leaf packs"
"185","pools"
"185","undercut overhanging"
"185","submerged wood"
"186","cobbles"
"186","aquatic plants"
"186","runs"
"186","stream margins"
"186","leaf packs"
"186","pools"
"186","undercut overhanging"
"186","submerged wood"
"186","other"
"187","riffles"
"187","cobbles"
"187","aquatic plants"
"187","runs"
"187","stream margins"
"187","pools"
"187","undercut overhanging"
"187","submerged wood"
"188","riffles"
"188","cobbles"
"188","aquatic plants"
"188","runs"
"188","stream margins"
"188","leaf packs"
"188","pools"
"188","undercut overhanging"
"188","submerged wood"
"188","other"
"189","cobbles"
"189","aquatic plants"
"189","runs"
"189","stream margins"
"189","leaf packs"
"189","pools"
"189","undercut overhanging"
"189","submerged wood"
"190","riffles"
"190","cobbles"
"190","aquatic plants"
"190","runs"
"190","stream margins"
"190","leaf packs"
"190","pools"
"190","undercut overhanging"
"190","submerged wood"
"191","riffles"
"191","cobbles"
"191","aquatic plants"
"191","runs"
"191","stream margins"
"191","leaf packs"
"191","pools"
"191","undercut overhanging"
"191","submerged wood"
"192","runs"
"192","stream margins"
"192","pools"
"192","submerged wood"
"193","cobbles"
"193","runs"
"193","stream margins"
"193","pools"
"193","leaf packs"
"193","undercut overhanging"
"193","submerged wood"
"193","other"
"194","riffles"
"194","cobbles"
"194","aquatic plants"
"194","runs"
"194","stream margins"
"194","leaf packs"
"194","undercut overhanging"
"194","submerged wood"
"194","other"
"195","aquatic plants"
"195","stream margins"
"195","leaf packs"
"195","pools"
"195","undercut overhanging"
"195","submerged wood"
"196","cobbles"
"196","aquatic plants"
"196","runs"
"196","stream margins"
"196","leaf packs"
"196","pools"
"196","undercut overhanging"
"196","submerged wood"
"197","aquatic plants"
"197","runs"
"197","stream margins"
"197","pools"
"197","undercut overhanging"
"198","riffles"
"198","cobbles"
"198","aquatic plants"
"198","runs"
"198","stream margins"
"198","leaf packs"
"198","pools"
"198","undercut overhanging"
"198","submerged wood"
"199","riffles"
"199","aquatic plants"
"199","runs"
"199","stream margins"
"199","leaf packs"
"199","pools"
"199","undercut overhanging"
"199","submerged wood"
"200","riffles"
"200","runs"
"200","stream margins"
"200","leaf packs"
"200","pools"
"200","undercut overhanging"
"200","submerged wood"
"201","riffles"
"201","cobbles"
"201","other"
"201","leaf packs"
"201","pools"
"201","undercut overhanging"
"201","submerged wood"
"202","riffles"
"202","cobbles"
"202","runs"
"202","stream margins"
"202","leaf packs"
"202","pools"
"202","undercut overhanging"
"202","submerged wood"
"203","riffles"
"203","cobbles"
"203","other"
"203","runs"
"203","stream margins"
"203","leaf packs"
"203","pools"
"203","undercut overhanging"
"203","submerged wood"
"204","aquatic plants"
"204","runs"
"204","stream margins"
"204","leaf packs"
"204","pools"
"204","undercut overhanging"
"204","submerged wood"
"205","cobbles"
"205","runs"
"205","stream margins"
"205","leaf packs"
"205","pools"
"205","undercut overhanging"
"205","submerged wood"
"206","stream margins"
"206","leaf packs"
"206","pools"
"206","undercut overhanging"
"206","submerged wood"
"206","other"
"207","cobbles"
"207","aquatic plants"
"207","runs"
"207","stream margins"
"207","leaf packs"
"207","pools"
"207","undercut overhanging"
"207","submerged wood"
"208","riffles"
"208","cobbles"
"208","runs"
"208","stream margins"
"208","leaf packs"
