ID,BRANCH,FIELDID,STONEFLIES PRESENT?,ST2022,ST2022date,ST2022Family,ST2022Saltppm,ST2021,ST2021date,ST2021Family,ST2021Saltppm,ST2020date,ST2020,ST2020Family,ST2020Salt,ST2020Saltppm,ST19,ST19Family,ST19 date,ST19Collector,ST18,ST18Collector,ST17Collector,ST17date,ST17,ST17Capnids,ST17Perlodids,ST17Nemourids,ST17Taeniopteryx,ST16date,ST16Collector,ST16,ST16 Capnids,ST16 Perlodids,ST15,ST15date,ST15Capnids,ST15Perlodids,ST15Collector,ST14date,ST14,ST14Capnids,ST14Perlodids,ST13date,ST13,ST13Capnids,ST13Perlodids,St13Taeniopteryx,ST12,ST12Capnids,ST12Perlodids,ST12Taeniopteryx,ST11 Perlodids,ST11 Capnid,ST11,ST10,ST10 Capnid,ST10 Perlodid,ST10 Nemouridae,ST10 Taeniopterygidae,ST09,ST09 Capnid,ST09 Perlodid,ST08,ST08 Capnid,ST08Perlodid,ST07,ST06,ST05,ST04,ST03,ST02
27,M,MR-2,Y,N,1/22/2022,,140,N,1/23/2021,,370,,,,,,N,,2/2/2019,WC SH,Y,WC,,,,,,,,2/8/16,WC,N,,,,,,,,1/25/14,Y,Y,N,,,,,,N,,,,,,N,Y,Allocapnia,,,,Y,Y,,Y,Y,,Y,,N,,,
28,M,MR-20,Y,N,1/22/2022,,258,,,,,1/22/2020,N,,,,N,,1/18/2019,WC,Y,8,,,,,,,,2/13/16,8,N,,,N,2/14/15,,,12,1/25/14,N,N,N,1/26/13,N,,,,N,,,,,,N,Y,Capniidae,,,,N,,,,,,,,,,,
29,U,Up1,Y,Y,1/22/2022,Capnids,310,N,1/23/2021,,455,,,,,,Y,Capnids,1/26/2019,4,Y,12,,,,,,,,2/13/16,13,N,,,N,2/14/15,,,13,,,,,1/26/13,N,,,,N,,,,,,N,Y,Allocapnia,,,,,,,N,,,N,N,Y,,,
30,U,Bell1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,
31,M,Bish1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
32,MN,For1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
33,MN,For2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MN,Frank1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
35,MN,Frank2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,
36,M,Ing1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,
37,M,Ing2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,M,John4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,L,Low1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
